imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
0,,,,,,,,,,,,,,,,,,,,,,,,,
tt0096056,0.0,/95U3MUDXu4xSCmVLtWgargRipDi.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,109809.0,en,Crime and Punishment,A modern day adaptation of Dostoyevsky's classic novel about a young student who is forever haunted by the murder he has committed.,3.039,/2ckMQwDi11TofiNoaE3sHrYbaCh.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'PL', 'name': 'Poland'}, {'iso_3166_1': 'RU', 'name': 'Russia'}]",2002-06-01,0.0,126.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Polish', 'iso_639_1': 'pl', 'name': 'Polski'}]",Released,,Crime and Punishment,0.0,5.333,12.0,
tt0118926,0.0,/qR3Dk3ctnrrxkAI6I472RhamIbu.jpg,,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",,20689.0,en,The Dancer Upstairs,A police detective in a South American country is dedicated to hunting down a revolutionary guerilla leader.,5.003,/jG662jKzEf63fhcbbN3WiLlz5MX.jpg,"[{'id': 357, 'logo_path': None, 'name': 'Vía Digital', 'origin_country': 'ES'}, {'id': 43, 'logo_path': '/4RgIPr55kBakgupWkzdDxqXJEqr.png', 'name': 'Fox Searchlight Pictures', 'origin_country': 'US'}, {'id': 1025, 'logo_path': None, 'name': 'Lolafilms', 'origin_country': 'ES'}, {'id': 2130, 'logo_path': '/g0lqeY2FvhzXcOI6z8RVXbORRUY.png', 'name': 'Mr. Mudd Production', 'origin_country': 'US'}, {'id': 29566, 'logo_path': '/wHbtRtUnXGNzX0riQIpq1fcgueq.png', 'name': 'Atresmedia', 'origin_country': 'ES'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-09-20,5227348.0,132.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'Quechua', 'iso_639_1': 'qu', 'name': ''}]",Released,"An honest man caught in a world of intrigue, power and passion.",The Dancer Upstairs,0.0,6.196,51.0,R
tt0119980,0.0,,,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,563364.0,en,Random Shooting in LA,The seamy side of Los Angeles is revealed through the lens of a stolen video camera as it passes through a succession of owners.,0.9580000000000001,/79sMfuJzskjBOB28dJyQ2VIBQsd.jpg,"[{'id': 111499, 'logo_path': None, 'name': 'Collaboration Filmworks', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-07-13,0.0,91.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Random Shooting in LA,0.0,0.0,0.0,
tt0120679,0.0,/s04Ds4xbJU7DzeGVyamccH4LoxF.jpg,,12000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",https://www.miramax.com/movie/frida,1360.0,en,Frida,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.",15.245,/a4hgR6aKoohB6MHni171jbi9BkU.jpg,"[{'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}, {'id': 35, 'logo_path': '/wxrHa3nZ1K4zo65p56991INkGo6.png', 'name': 'Lions Gate Films', 'origin_country': 'US'}, {'id': 689, 'logo_path': None, 'name': 'Ventanarosa Productions', 'origin_country': 'US'}, {'id': 690, 'logo_path': None, 'name': 'Handprint Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'MX', 'name': 'Mexico'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-08-29,56298474.0,123.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Prepare to be seduced.,Frida,0.0,7.428,1905.0,R
tt0120804,0.0,/l5KvxFVOru3Qyf3dl2asNw5g1MD.jpg,"{'id': 17255, 'name': 'Resident Evil Collection', 'poster_path': '/ed8cYt6V7DVoVuHhBV5dD2YRFvb.jpg', 'backdrop_path': '/8utTJ9WoQeYcZ0Ztciv6auqwLXl.jpg'}",33000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.sonypictures.com/movies/residentevil,1576.0,en,Resident Evil,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak.",18.387,/1UKNef590A0ZaMnxsscIcWuK1Em.jpg,"[{'id': 248, 'logo_path': None, 'name': 'Impact Pictures', 'origin_country': 'GB'}, {'id': 342, 'logo_path': None, 'name': 'Davis Films', 'origin_country': 'FR'}, {'id': 939, 'logo_path': None, 'name': 'New Legacy Film', 'origin_country': 'GB'}, {'id': 47, 'logo_path': '/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png', 'name': 'Constantin Film', 'origin_country': 'DE'}, {'id': 2026, 'logo_path': '/q9s9KGhSsFEnpTmLLwprytB3T3d.png', 'name': 'FFA', 'origin_country': 'DE'}, {'id': 269, 'logo_path': None, 'name': 'Filmboard Berlin-Brandenburg (FBB)', 'origin_country': 'DE'}, {'id': 268, 'logo_path': '/vxMEWcZ4TZ5XaK3fMVM4PRjvUDv.png', 'name': 'FFF Bayern', 'origin_country': 'DE'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2002-03-15,102984862.0,100.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A secret experiment. A deadly virus. A fatal mistake.,Resident Evil,0.0,6.609,5811.0,R
tt0120912,0.0,/o1l6OCqA3pYDZHIc5L1s7CEzCMv.jpg,"{'id': 86055, 'name': 'Men In Black Collection', 'poster_path': '/neo50PMS8QZhl4VdzXAF1Cz3sPz.jpg', 'backdrop_path': '/xKz6YaOvmnIJQ3MYIpnaa7FBaAB.jpg'}",140000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.sonypictures.com/movies/meninblackii,608.0,en,Men in Black II,"Kay and Jay reunite to provide our best, last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB, but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.",35.49,/enA22EPyzc2WQ1VVyY7zxresQQr.jpg,"[{'id': 5, 'logo_path': '/wrweLpBqRYcAM7kCSaHDJRxKGOP.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 56, 'logo_path': '/cEaxANEisCqeEoRvODv2dO1I0iI.png', 'name': 'Amblin Entertainment', 'origin_country': 'US'}, {'id': 49325, 'logo_path': None, 'name': 'Parkes+MacDonald Image Nation', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-07-03,445135288.0,88.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Back in black.,Men in Black II,0.0,6.359,9251.0,PG-13
tt0121765,0.0,/abwxHfymXGAbbH3lo9PDEJEfvtW.jpg,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/gq5Wi7i4SF3lo4HHkJasDV95xI9.jpg', 'backdrop_path': '/d8duYyyC9J5T825Hg7grmaabfxQ.jpg'}",120000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,1894.0,en,Star Wars: Episode II - Attack of the Clones,"Following an assassination attempt on Senator Padmé Amidala, Jedi Knights Anakin Skywalker and Obi-Wan Kenobi investigate a mysterious plot that could change the galaxy forever.",38.649,/oZNPzxqM2s5DyVWab09NTQScDQt.jpg,"[{'id': 1, 'logo_path': '/o86DbpburjxrqAzEDhXZcyE8pDb.png', 'name': 'Lucasfilm Ltd.', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-05-15,649398328.0,142.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.,Star Wars: Episode II - Attack of the Clones,0.0,6.551,12306.0,PG
tt0133240,0.0,/mVuH9hNGnxF9bbhlh1Tr9FuG3Uc.jpg,,140000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",,9016.0,en,Treasure Planet,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms on their journey to find treasure.",41.822,/zMKatZ0c0NCoKzfizaCzVUcbKMf.jpg,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 171656, 'logo_path': '/4UBohOtIr9DtxylH48Qsg6aDow6.png', 'name': 'Walt Disney Feature Animation', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-11-26,109578115.0,95.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Find your place in the universe.,Treasure Planet,0.0,7.526,3808.0,PG
tt0145487,0.0,/jHxCeXnSchAuwHnmVatTgqMYdX8.jpg,"{'id': 556, 'name': 'Spider-Man Collection', 'poster_path': '/bp5PqLa06QA1LsELA1SsKZ008H7.jpg', 'backdrop_path': '/waZqriYTuBE3WqXI3SDGi3kfDQE.jpg'}",139000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",https://www.sonypictures.com/movies/spiderman,557.0,en,Spider-Man,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",69.136,/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,"[{'id': 19551, 'logo_path': '/2WpWp9b108hizjHKdA107hFmvQ5.png', 'name': 'Marvel Enterprises', 'origin_country': 'US'}, {'id': 326, 'logo_path': None, 'name': 'Laura Ziskin Productions', 'origin_country': ''}, {'id': 5, 'logo_path': '/wrweLpBqRYcAM7kCSaHDJRxKGOP.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-05-01,821708551.0,121.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,With great power comes great responsibility.,Spider-Man,0.0,7.3,17675.0,PG
